Process ID, throughput time, total wait time, number of context switch, total CPU time, total IO time
13,1442,1338,6,76,28
2,1602,1461,8,99,42
16,3113,2804,16,170,139
3,4225,3817,23,252,156
12,4320,3938,23,222,160
15,4626,4243,27,226,157
11,6069,5486,38,404,179
7,8515,7447,63,546,522
19,9153,8076,68,594,483
5,9681,8387,75,644,650
10,11516,9796,98,813,907
17,11723,10023,102,831,869
18,11733,10064,99,906,763
1,13230,11118,126,1003,1109
4,13214,11168,125,1112,934
8,13394,11239,129,1099,1056
14,13583,11284,135,1180,1119
6,13740,11141,142,1273,1326
9,13838,11239,149,1292,1307
