Process ID, throughput time, total wait time, number of context switch, total CPU time, total IO time
13,260,159,3,73,28
2,393,254,6,97,42
16,739,434,12,166,139
12,997,621,17,216,160
15,995,619,20,219,157
3,1024,622,17,246,156
11,1443,868,30,396,179
7,1991,939,47,530,522
19,2117,1055,53,579,483
5,2297,1020,58,627,650
18,2808,1159,79,886,763
17,2835,1153,84,813,869
10,2904,1201,81,796,907
4,3225,1206,98,1085,934
1,3297,1209,102,979,1109
8,3301,1175,100,1070,1056
14,3490,1220,106,1151,1119
9,3673,1111,112,1255,1307
6,3714,1143,114,1245,1326
